tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,nconst,category,lead_actors_ids,language,country,plot,budget,boxOffice
tt0006405,movie,Kitchener's Great Army in the Battle of the Somme,1916,74,"Documentary,War",6.6,507,,,,,,,,
tt0006617,movie,Kiss of Death,1916,65,"Comedy,Crime,Drama",6.1,293,nm0803705,actor,"['nm0803705', 'nm0803705', 'nm0492280', 'nm0851418', 'nm0745192']",SilentSwedish intertitles,Sweden,,,
tt0006895,movie,King Lear,1916,63,Drama,5.4,111,nm0911963,actor,"['nm0911963', 'nm0401382', 'nm0034424', 'nm0319599', 'nm0227919']",English (silent),United States,The synopsis provided by the studio in The Moving Picture World was:[4],,
tt0011362,movie,Karin Ingmarsdotter,1920,115,Drama,6.4,223,nm0014363,actor,"['nm0014363', 'nm0071091', 'nm0074129', 'nm0098110', 'nm0112867']",,,,,
tt0011371,movie,Kohlhiesel's Daughters,1920,64,"Comedy,Romance",6.5,532,nm0691995,actress,"['nm0691995', 'nm0691995', 'nm0417837', 'nm0862816', 'nm0903194']",German,Germany,"Liesel has studied hotel management at Munich and returns to her hometown of Hinterflüh, where her father and twin sister Susi run the family's inn. Former boyfriend Toni is seeking to rekindle the relationship, but the time apart has estranged them. Günter, an acquaintance from Munich, follows Liesel, takes on a job at the inn and also courts her. Liesel feels drawn to Günter, who is educated and well-mannered, whereas Susi favors Toni, a wealthy and successful hands-on farmer. Toni however is not interested in Susi because of her ghastly appearance and rude behavior.",,
tt0011513,movie,Nomads of the North,1920,109,Drama,5.8,315,nm0151606,actor,"['nm0151606', 'nm0832011', 'nm0532047', 'nm0014894', 'nm0090029']",Silent (English intertitles),United States,"In a small rural village, impoverished Nanette Roland refuses to marry the villainous Buck McDougall until she is convinced that her long-absent fiancé, Raoul Challoner, is dead. Buck obtains false evidence of Challoner's death and Nanette sadly consents to be married, mainly for her bankrupt old father's sake. (Raoul had gone away months earlier on a hunting expedition and never returned.)",,
tt0013427,movie,Nanook of the North,1922,78,Documentary,7.6,14434,nm1354245,actor,"['nm1354245', 'nm0638725', 'nm0192066', 'nm0020180', 'nm4752207']",Silent film with English intertitles,United StatesFrance,"The documentary follows the lives of an Inuk, Nanook, and his family as they travel, search for food, and trade in the Ungava Peninsula of northern Quebec, Canada. Nanook, his wife Nyla and their family are introduced as fearless heroes who endure rigors no other race could survive.  The audience sees Nanook, often with his family, hunt a walrus, build an igloo, go about his day, and perform other tasks.","$53,000",
tt0013428,movie,Nathan der Weise,1922,128,"Drama,History",6.9,165,nm0340088,actor,"['nm0340088', 'nm0212234', 'nm0212234', 'nm0251432', 'nm0470328']",,,,,
tt0013442,movie,Nosferatu,1922,94,"Fantasy,Horror",7.8,123383,nm0775180,actor,"['nm0775180', 'nm0334603', 'nm0903194', 'nm0775659', 'nm0774114']","Silent film
German intertitles",Weimar Republic,"In 1838, in the fictional German town of Wisburg,[1][9] Thomas Hutter is sent to Transylvania by his employer, the eccentric estate agent Herr Knock, to visit a new client, Count Orlok, who is planning to buy a derelict house across from Hutter's own residence. As Hutter studies the route on a map, Knock secretly studies a mysterious correspondence in cabalistic symbols. While embarking on his journey, Hutter stops at an inn in which the locals are terrified by the mere mention of Orlok's name. In his room, he finds a book about vampires, which he initially scoffs at but puts in his baggage.",,
tt0014186,movie,Krasnye dyavolyata,1923,84,"Action,Adventure,Drama",6.1,153,nm1879516,actor,"['nm1879516', 'nm0260607', 'nm0430771', 'nm0070099', 'nm0840195']",,,,,
tt0014524,movie,New Year's Eve,1924,66,Drama,6.3,236,nm0460337,actor,"['nm0460337', 'nm0692612', 'nm0723801', 'nm0361880', 'nm0379263']",Silent film,Germany / German Reich,"A man is celebrating New Year's Eve with his wife and his mother, who are at odds with one another. As the evening progresses, the rivalry between the two women increases to an open hatred that eventually escalates into a big fight. The man assumes no position in favor of either woman and instead chooses to flee from the conflict.",,
tt0015039,movie,Kino Eye,1924,78,Documentary,6.9,1320,,,,,,,,
tt0015973,movie,Kentucky Pride,1925,70,"Comedy,Drama,Romance",6.2,258,nm13613400,actor,"['nm13613400', 'nm13613401', 'nm13613402', 'nm13613403', 'nm1210222']",Silent (English intertitles),United States,"The plot concerns Beaumont, a horse breeder with a penchant for gambling, who is down on his luck.[1] After losing at poker and being forced to give up several of his horses to cover his losses, Beaumont bets it all and loses again when his horse, Virginia's Future, suddenly falls and breaks a leg while leading the pack in a critical race.[1][2] Beaumont's selfish wife tells the horse's trainer, Mike Donovan, to kill the injured horse, and abandons Beaumont for Greve Carter, a well-to-do neighbor. Beaumont also loses his relationship with Virginia,[1] his daughter from his previous marriage. Beaumont and Donovan manage to save Virginia's Future, and she births a colt[1] (or a filly[2]) named Confederacy, but his financial troubles force him to sell off both the colt and the mare. Confederacy is mistreated by his new owner, a foreign junk dealer, and Virginia's Future is forced into hard labor as a pack horse. But when Confederacy is later entered to run in the Futurity, ridden by Mike Donovan's son Danny,[1][2] Beaumont gathers everything he can and bets it all again. This time he wins. He is reunited with his daughter and buys back the colt, giving it a good life in the pasture.[1][2]",,
tt0017025,movie,Katka-bumazhnyy ranet,1926,74,Drama,7.2,148,nm0125598,actress,"['nm0125598', 'nm0155949', 'nm0631705', 'nm0813513', 'nm0645697']",,,,,
tt0017028,movie,Kid Boots,1926,72,"Comedy,Romance",6.9,257,nm0134662,actor,"['nm0134662', 'nm0001966', 'nm0235521', 'nm0336770', 'nm0455592']",Silent (English intertitles),United States,"Kid Boots is a put-upon clerk in a men's tailor shop. When Big Boyle storms in to buy a new suit, the service he receives is so inept that he destroys the shop trying to throttle Boots.",,
tt0017029,movie,Kiki,1926,108,"Comedy,Drama",6.8,483,nm0848232,actress,"['nm0848232', 'nm0172903', 'nm0040090', 'nm0531584', 'nm0037761']",Silent (English intertitles),United States,"Kiki ekes out a living selling newspapers on the streets of Paris. When she learns that a chorus girl has been fired from the Folies Barbes revue managed by Victor Renal, she sets out to fulfill her dream and apply for the job. Poverty stricken, she spends her rent money to buy suitable clothes. She gets kicked out the first time, as she was not sent by the Agency, but manages to sneak back in. While waiting in the reception area, she is mistaken for the secretary by an Agency applicant, who gives Kiki her letter of recommendation to present to Renal. He mistakes it for Kiki's, and gives her an audition. Her singing talent gets her the job.",,
tt0017196,movie,Nana,1926,150,"Drama,Romance",6.6,1043,nm0381642,actress,"['nm0381642', 'nm0504562', 'nm0287503', 'nm0470328', 'nm0029671']",French,France,"The story takes place during the Second Empire in France. Nana, a theatre actress, puts on light-hearted plays that the Parisian bourgeoisie come to see. Thanks to her success with men, she becomes a rich and adored courtesan, so much so that she leaves the stage and is maintained. One young man even commits suicide to keep Nana's favour. The Count of Muffat becomes the man who ruins himself to support her and satisfy her excessive needs. Nana cheats on him and wastes his money on the grandiose parties she organises. One day, driven by her desire to perform, she returns to the stage. Some time later, she contracts smallpox and dies.",,
tt0017198,movie,Nell Gwyn,1926,80,"Biography,Drama,History",6.1,270,nm0321088,actress,"['nm0321088', 'nm0044024', 'nm0174051', 'nm0265498', 'nm0531243']",Silent (English intertitles),United Kingdom,"As described in a film magazine review,[6] Nell Gwyn is first seen as an orange girl at the Old Drury Theatre in London. She attracts the eye of the King and he makes her one of the players at His Majesty's Theatre. She succeeds and winning the King's affection becomes his favorite, vying with Lady Castlemaine for his favors. Through her efforts, a palace which he is building for her is converted into a home for disabled soldiers and sailors. When his hour of death nears, the King dies in her arms, with her name on his lips.","£20,000 or £22,000","over £100,000"
tt0018199,movie,Nevada,1927,70,"Drama,Western",6.1,151,nm0000011,actor,"['nm0000011', 'nm0865298', 'nm0001635', 'nm0833379', 'nm0010958']",SilentEnglish intertitles,United States,"A feared gunfighter named Nevada (Gary Cooper) breaks his friend Cash Burridge (Ernie Adams) from the Lineville jail. When they reach the town of Winthrop, the two men decide to take respectable jobs on a ranch owned by Ben Ide (Philip Strange), an Englishman they rescued from Cawthorne's gang of cattle rustlers. Fearing the rustlers, Ide hires Nevada to protect his sister, Hettie (Thelma Todd), angering the ranch foreman, Clan Dillon (William Powell), who is in love with Hettie.",,
tt0020210,movie,Navy Blues,1929,77,"Comedy,Drama",5.6,646,nm0354313,actor,"['nm0354313', 'nm0656105', 'nm0199322', 'nm0637795', 'nm0152362']",English,United States,,,
tt0020217,movie,New York Nights,1929,82,"Crime,Drama,Music",5.5,313,nm0848232,actress,"['nm0848232', 'nm0738042', 'nm0942046', 'nm0850896', 'nm0233390']",English,United States,"Jill Deverne is a chorus girl married to alcoholic composer Fred. She wants to show Fred's latest song, ""A Year From Today"", to racketeer Joe Prividi. Prividi is the producer of the musical show in which she is working, and agrees to use his song. Fred, however, refuses any favors and rejects Prividi's offer. When Prividi uses the song anyway, Fred and his friend Johnny Dolan become drunk and show up at a nightclub.",,
tt0020218,movie,Night Parade,1929,71,Drama,5.3,142,nm0697800,actress,"['nm0697800', 'nm0872463', 'nm0347827', 'nm0000252', 'nm0672154']",English,United States,"Bobby Murray is the middleweight champion, managed by his father, Tom. He is expected to lose an upcoming fight in defense of his title. A local sportswriter, Sid Durham, also thinks he will lose, but he has high regard for Tom. A gangster, John Zelli, also feels that Murray will lose, but wants to ensure that fact. Zelli enlists the talents of sultry Paula Vernoff to seduce Bobby and get him to agree to throw the fight.",,
tt0020223,movie,Noah's Ark,1928,135,"Drama,War",6.6,1061,nm0182537,actress,"['nm0182537', 'nm0182537', 'nm0639563', 'nm0639563', 'nm0001935']",Sound (Part-Talkie)English intertitles,United States,"After the Great Flood, Noah and his family are seen outside the Ark praising Jehovah, followed by depictions of the building of the Tower of Babel, the worshipping of the golden calf, and then the eve of World War I, where a bankrupted trader shoots his uncaring stockbroker.","$1,005,000","$2,305,000 (worldwide rentals)"
tt0020227,movie,Nothing But the Truth,1929,78,"Action,Comedy,Romance",6.4,113,nm0228715,actor,"['nm0228715', 'nm0437318', 'nm0058478', 'nm0817021', 'nm0317224']",English,United States,"Robert Bennett (Richard Dix) is a stockbroker who is very carefree with other people's money. Encouraging clients to buy stocks in companies that are failing is all in a day's work to him. His fiancée Gwenn Burke (Dorothy Hall) has to raise $40,000 for a charity project, comes to him with $10,000 to invest from her charity group, and wants him to double it within five days.",,
tt0021025,movie,King of Jazz,1930,99,"Comedy,Musical",6.7,1918,nm0092900,actor,"['nm0092900', 'nm0092900', 'nm0478851', 'nm0478851', 'nm0478851']",English (synchronized sound),United States,"King of Jazz is a revue. There is no story continuity, only a series of musical numbers alternating with ""blackouts"" (brief comedy sketches with abrupt punch line endings) and other short introductory or linking segments.","$2,000,000 (estimated)",
tt0021178,movie,New Moon,1930,78,"Drama,Musical,Romance",5.9,222,nm0862546,actor,"['nm0862546', 'nm0601254', 'nm0579663', 'nm0950019', 'nm0796100']",English,United States,"New Moon is the name of a ship crossing the Caspian Sea. A young man named Lt. Petroff meets Princess Tanya and they have a ship-board romance. Upon arriving at the port of Krasnov, Petroff learns that Tanya is engaged to Governor Brusiloff.",,
tt0021184,movie,Night Work,1930,93,"Comedy,Music,Romance",6,150,nm0703600,actor,"['nm0703600', 'nm0823597', 'nm0881500', 'nm0444740', 'nm0574743']",English,United States,"Willie Musher is an assistant window dresser for a department store who is the unlucky chump who is fired each time a disgruntled customer complains to the manager, Mr. Reisman. Willie is given ten dollars by the husband of one of the complainers as a tip for lying so well, and he leaves the store to deposit the money in his bank account.",,
tt0021189,movie,Not So Dumb,1930,76,"Comedy,Drama,Romance",5.8,1208,nm0203836,actress,"['nm0203836', 'nm0637790', 'nm0352495', 'nm0659427', 'nm0269671']",English,United States,"Dulcinea Parker goes to the train station to meet the Forbes: mother Eleanor, father Charles, and daughter Angela, whom she has invited to spend the weekend. We are also introduced to her new butler Perkins, who is an ex-convict on parole.",,
tt0021192,movie,Numbered Men,1930,70,"Crime,Drama",4.7,218,nm0619261,actor,"['nm0619261', 'nm0163247', 'nm0352495', 'nm0408433', 'nm0513103']",English,United States,"Bertie ""Duke"" Gray is a counterfeiter who has been sentenced to prison for ten years. Seeing that there is no chance to escape, he accepts his fate and settles into prison life. Gray's friend Bud Leonard, a young man who cannot tolerate prison because he is in love with Mary Dane and misses her terribly. While Bud is in prison, Lou Rinaldo, the man who framed him, is pursuing Mary romantically. When Mary tempts Bud to escape, he is ready to take the risk although it may mean his death. The two plan to meet each other when Bud discloses that he is being sent to work on a road gang. Mary takes a job at a farmhouse where the convicts usually eat, hoping to see Bud there. Rinaldo traces her to the house and schemes to eliminate Bud so that he can have Mary to himself. Rinaldo convinces Bud and prisoner King Callahan, whom Rinaldo had framed, that they should attempt to escape, hoping that he can cause them to be caught in the attempt. Mary prevents Bud's escape but Callahan takes the bait. Callahan later shoots Rinaldo and is himself killed. To save Bud, who is scheduled to be released soon, Gray informs on Rinaldo, although the evidence that he provides will lead to an additional prison term for him. Gray is happy to make the sacrifice, knowing that Mary will be with the man whom she truly loves.",,
tt0022021,movie,Kept Husbands,1931,76,"Drama,Romance",5.9,754,nm0949403,actress,"['nm0949403', 'nm0566948', 'nm0533108', 'nm0817021', 'nm0139794']",English,United States,"Arthur Parker is a wealthy steel magnate who is relating the story to his snobbish wife and spoiled daughter of one of his plant supervisors who fearlessly rushed in and saved the lives of two of his fellow co-workers. When his wife, Henrietta, asks if he rewarded the young man, Parker shows his astonishment by saying that the hero had refused the thousand dollars he had offered. When the daughter, Dot, remarks that she would like to meet a man like that, the father tells her not to worry, she will, for he is coming to dinner that very evening. Henrietta is aghast at having to socialize with someone not of their class, but Parker, who is a better judge of character, assures her that all will be well.",,
tt0022026,movie,Kiki,1931,87,Musical,5.4,367,nm0681933,actress,"['nm0681933', 'nm0219666', 'nm0147248', 'nm0515272', 'nm0853517']",English,United States,"Kiki is a hapless French chorus girl who has just been fired from her job. She doesn't accept it and goes to see producer Victor Randall. He, however, is really busy and is annoyed by her presence. To get her out of his office, he promises her job back. Before she leaves, she drops her purse and clippings of Victor shaped in hearts fall out. It becomes clear Kiki is secretly in love with him.",,"$400,000"
tt0022028,movie,King of the Wild,1931,248,"Action,Adventure,Horror",5.5,151,nm0589494,actor,"['nm0589494', 'nm0589494', 'nm0485494', 'nm0764346', 'nm0000472']",English,United States,"Robert Grant, framed for a coup in the Indian country of Ranjapur, escapes from prison to Africa in search of the real villains.  Here he meets Sheik Mustapha (Boris Karloff), who has evidence to clear him and the location of a secret diamond mine.",,
tt0022029,movie,Kiss Me Again,1931,75,"Musical,Romance",5.5,219,nm0163247,actress,"['nm0163247', 'nm0002143', 'nm0682074', 'nm0172875', 'nm0570451']",English,United States,A French shopgirl obeys her parents by leaving her lover to become an opera star.,,
tt0022197,movie,Never the Twain Shall Meet,1931,79,Drama,5.5,204,nm0001366,actor,"['nm0001366', 'nm0599354', 'nm0807580', 'nm0605904', 'nm0507568']",English,United States,"Dan Pritchard is a partner along with his father in a San Francisco-based shipping company. His socialite fiancée Maisie Morrison avoids setting a wedding date, much to his frustration. Dan is called to the ship of his father's friend, Captain Larrieau, who informs him he has contracted leprosy. He wants the Pritchards to act as guardians for his daughter Tamea, whose mother was a Polynesian queen. Tamea is a barefoot native girl, skimpily dressed, her hair wild and her aspect wilder. Once Pritchard agrees to take care of Tamea and see to it that she marries respectably, her father goes topside and jumps overboard.",,
tt0022198,movie,New Adventures of Get-Rich-Quick Wallingford,1931,95,"Comedy,Crime,Romance",6.2,474,nm0354313,actor,"['nm0354313', 'nm0002051', 'nm0868458', 'nm0404885', 'nm0452128']",,,,,
tt0022208,movie,Night Nurse,1931,72,"Comedy,Crime,Drama",7,5110,nm0001766,actress,"['nm0001766', 'nm0528908', 'nm0000951', 'nm0000022', 'nm0002768']",English,United States,"Lora Hart applies for a job as a nurse trainee, but is rejected when the hospital's nursing superintendent, Miss Dillon, learns she does not have a high school diploma. After a chance encounter with the hospital's chief of staff, prominent surgeon Dr. Arthur Bell, Hart charms him, and he tells Dillon to hire her. Lora and Miss Maloney, a fellow nurse, are made roommates, and they soon become best friends.",,
tt0022211,movie,No Limit,1931,72,"Comedy,Drama,Musical",5.6,165,nm0001966,actress,"['nm0001966', 'nm0287988', 'nm0260020', 'nm0497159', 'nm0337894']",English,United States,"The film tells the story of Helen ""Bunny"" O'Day, an usherette working in a theater, who accidentally finds herself living in a private gambling den. She begins a romance with a hulking gambler.",,
tt0023096,movie,Klondike,1932,68,"Adventure,Drama",5.5,180,nm0865298,actress,"['nm0865298', 'nm0847939', 'nm0910400', 'nm0730165', 'nm0212912']",English,United States,Doctor Robert Cromwell (played by Lyle Talbot) is charged with murder when a patient dies after an experimental operation to remove a brain tumor.,,
tt0023101,movie,Kongo,1932,86,"Drama,Horror",6.5,1262,nm0404158,actor,"['nm0404158', 'nm0892473', 'nm0619261', 'nm0115597', 'nm0330059']",English,United States,"""Deadlegs"" Flint, an embittered paraplegic living in the Congo, controls local natives by dispensing to them small quantities of sugar and liquor (sometimes substituting the latter with kerosene). He also astonishes and frightens the natives by performing staged magic tricks, which create the illusion that he has supernatural powers. Assisting him with those tricks are his fiancée Tula, two thugs—Hogan and Cookie—and a loyal native, Fuzzy. Flint has spent the last 18 years plotting revenge against Gregg, a man who had crushed his spine in a fight before he ran away with Flint's wife. The crippled man since then has built an ""80-mile circle"" around his jungle compound, an area patrolled by his henchmen and where no one can enter or leave without Flint's consent. As part of his revenge plan, he also arranged years ago to have the infant daughter of Gregg and his former wife raised by nuns to be ""clean in body and mind"" within the safety and seclusion of a convent in Cape Town. Flint sends his man Hogan there to bring the daughter, Ann, to him. In Cape Town, Hogan disguises himself as a missionary and convinces Ann, now a young woman, to go with him to see her father Gregg.",,
tt0023104,movie,Kuhle Wampe or Who Owns the World?,1932,71,Drama,6.6,949,nm0007229,actress,"['nm0007229', 'nm0123972', 'nm0938753', 'nm0278807', 'nm0774413']",,,,,
tt0023261,movie,No Blood Relation,1932,79,Drama,6.8,520,nm0645409,actress,"['nm0645409', 'nm0621197', 'nm1656100', 'nm2169219', 'nm1767861']",Japanese,Japan,"After five years overseas, star actress Tamae returns to Japan to reunite with her daughter Shigeko, whom she left behind with her then husband Atsumi in favour of her career. In her absence, Atsumi has married again, and the bond between Shigeko and her stepmother Masako has grown as strong as between a blood-related child and mother. When Atsumi's company goes bankrupt and his family is forced to move to lower-class surroundings, Tamae sees her chance to lure Shigeko away, but eventually has to accept that her wealth cannot compensate for Shigeko's and Masako's mutual love.",,
tt0023262,movie,New Morals for Old,1932,75,"Drama,Romance",5.4,287,nm0001870,actor,"['nm0001870', 'nm0675192', 'nm0832011', 'nm0187711', 'nm0001485']",English,United States,"Mr. and Mrs. Thomas are affluent New Yorkers who are unhappy that their adult children, Ralph Thomas (Robert Young) and Phyl Thomas (Margaret Perry), spend so many evenings at parties instead of spending time with family.  Their disapproval deepens when they discover both children want to move out to pursue lifestyles that the parents deem unacceptable: Phyl moves into her own apartment so that she can conduct an affair with a married man, Duff Wilson (David Newell). Her brother, Ralph, goes to Paris to pursue his dream of being a painter, thus disappointing his father who expected him to remain in the family wallpaper business. Mrs. Thomas repeatedly tries to invoke guilt in both children for not being with her, especially after Mr. Thomas dies of a stroke.",,
tt0023266,movie,Night After Night,1932,73,"Comedy,Drama",6.7,1377,nm0706368,actor,"['nm0706368', 'nm0191870', 'nm0317224', 'nm0922213', 'nm0804375']",English,United States,"Joe Anton is a speakeasy owner who falls in love with socialite Miss Healy. He takes lessons in high-class mannerisms from Mabel Jellyman. Joe does not know that Miss Healy only pays attention to him because he lives in the elegant building that her family lost in the Wall Street Crash of 1929. After a risky encounter with his old flame Iris Dawn involving a gun, Miss Healy kisses him. Joe is ready to marry her, but she's engaged to her friend Mr. Bolton, although admits she's just marrying him for his money.[2]",,
tt0023268,movie,Night Court,1932,92,"Crime,Film-Noir,Romance",6.9,724,nm0392004,actor,"['nm0392004', 'nm0404158', 'nm0656105', 'nm0832011', 'nm0137638']",English,United States,A corrupt judge frames an innocent woman while a police reformer works to bring his corruption to light.,,
tt0023277,movie,No Man of Her Own,1932,85,"Comedy,Drama,Romance",6.6,1820,nm0000022,actor,"['nm0000022', 'nm0001479', 'nm0533108', 'nm0593372', 'nm0666201']",English,United States,"Card sharp Jerry ""Babe"" Stewart and his cronies, Kay Everly, Charlie Vane, and Vargas, cheat an unsuspecting Mr Morton at poker. Afterward, when Babe breaks up with his girlfriend Kay, she threatens to turn him in to the police, but he is not worried. Police officer ""Dickie"" Collins, who has been following Babe, then drops in to inform him that he has told Morton the truth. Worried, Babe decides to leave New York City for a while. He chooses the small town of Glendale, purely by chance.",,
tt0023278,movie,No More Orchids,1932,78,"Drama,Romance",6.6,599,nm0001479,actress,"['nm0001479', 'nm0175369', 'nm0167113', 'nm0847939', 'nm0807580']",English,United States,"The departure of an ocean liner is held up to wait for spoiled heiress Anne Holt (Carole Lombard). Tony Gage (Lyle Talbot) expresses his contempt of her inconsiderate behavior to a fellow passenger, who agrees with him, even though she is the woman's paternal grandmother, Gran Holt (Louise Closser Hale). During the voyage, Anne and Tony become acquainted and fall in love, but he refuses to marry her because she is already engaged to Prince Carlos (Jameson Thomas) and because of the enormous financial gulf between them. He is too poor to even afford to buy her orchids.",,
tt0023279,movie,No One Man,1932,73,Drama,5.9,102,nm0001479,actress,"['nm0001479', 'nm0007220', 'nm0510134', 'nm0174051', 'nm0053616']",English,United States,"Penelope Newbold is a wealthy divorcée looking to remarry. She falls for her physician, Dr. Karl Bemis, but ends up marrying Bill Hanaway. He then has an affair with another woman. After Bill dies of a heart attack, Penelope and Dr. Bemis come together.[1]",,
tt0023284,movie,Night at the Crossroads,1932,75,"Crime,Drama,Mystery",6.5,1064,nm0719749,actor,"['nm0719749', 'nm0879412', 'nm0935108', 'nm0467937', 'nm1164235']",French,France,The story concentrates on a gang of thieves who utilize a cross-road garage as the hideaway.,,
tt0023285,movie,Number 17,1932,66,"Crime,Mystery,Thriller",5.6,6036,nm0513325,actor,"['nm0513325', 'nm0340514', 'nm0835738', 'nm0130740', 'nm0427543']",,,,,
tt0024216,movie,King Kong,1933,100,"Adventure,Horror",7.9,95977,nm0942039,actress,"['nm0942039', 'nm0035877', 'nm0127677', 'nm0717046', 'nm0362742']",English,United States,"In New York Harbor, filmmaker Carl Denham, known for wildlife films in remote exotic locations, is chartering Captain Englehorn's ship, the Venture, for his new project. However, he is unable to secure an actress for a female role he has been reluctant to disclose. In the streets of New York City, he finds struggling actress Ann Darrow and promises her ""the thrill of a lifetime"". The Venture sets off, during which Denham reveals that their destination is an uncharted island with a mountain the shape of a skull. He alludes to a mysterious entity named Kong, rumored to dwell on the island. The crew arrives and anchors offshore. They encounter a native village separated from the rest of the island by an enormous stone wall with a large wooden gate. They witness a group of natives preparing to sacrifice a young woman, termed the ""bride of Kong"". The intruders are spotted and the native chief stops the ceremony. When he sees the blonde-haired Ann, he offers to trade six of his tribal women for the ""golden woman"". They refuse him and return to the ship.","$672,254.75",$10 million
tt0024217,movie,King for a Night,1933,78,"Action,Crime,Drama",6.8,106,nm0606431,actor,"['nm0606431', 'nm0878546', 'nm0924442', 'nm0587534', 'nm0593372']",English,United States,A prizefighter is convicted of a murder that was actually committed by his sister.,,
tt0024219,movie,King of the Jungle,1933,73,"Action,Adventure",6.3,264,nm0185568,actor,"['nm0185568', 'nm0214168', 'nm0866010', 'nm0922851', 'nm0056719']",English,United States,,,
tt0024381,movie,Night Flight,1933,84,Drama,6.1,1066,nm0000858,actor,"['nm0000858', 'nm0371040', 'nm0000022', 'nm0000859', 'nm0599910']",English,United States,"In South America, the daunting mountains and dangerous weather have hampered the operations of Trans-Andean European Air Mail, a 1930s-era airline. Charged with delivering a serum to stem an outbreak of infantile paralysis in Rio de Janeiro, Auguste Pellerin conquers his fears, but is reprimanded by the airline's stern director, A. Rivière for coming in late.","$499,000",$1 million
tt0024382,movie,Night of Terror,1933,65,"Drama,Horror,Mystery",5.5,1014,nm0000509,actor,"['nm0000509', 'nm0285922', 'nm0087434', 'nm0913341', 'nm0551222']",English,United States,"Police have been vainly searching the countryside for the knife-wielding Maniac, who has been on a murderous spree.  The Maniac's victims are each found with a taunting newspaper clipping attached to their body.  After the wealthy uncle of a young scientist is mysteriously murdered, people wonder if the Maniac is responsible.",,
tt0024387,movie,No Marriage Ties,1933,72,Drama,6,183,nm0228715,actor,"['nm0228715', 'nm0019922', 'nm0448987', 'nm0003062', 'nm0484439']",English,United States,"A heavy-drinking journalist joins forces with a public relations man to form a successful advertising agency. Although the business becomes a success, it takes a toll on the ex-reporter's personal life.",,
tt0024394,movie,Notorious But Nice,1933,65,"Crime,Drama",6.1,114,nm0550620,actress,"['nm0550620', 'nm0173993', 'nm0226858', 'nm0399955', 'nm0820821']",English,United States,"Jenny Jones, a girl with a mysterious past is engaged to her employer son. His father attempts to destroy her life so his son will reject her. When all seems lost, help comes from an unexpected source, but complications ensue.",,
tt0025340,movie,Kansas City Princess,1934,64,"Comedy,Romance",6.1,484,nm0000951,actress,"['nm0000951', 'nm0268225', 'nm0035877', 'nm0001890', 'nm0674019']",English,United States,"Kansas City manicurist Rosie Sturges is in a relationship with minor gangster Dynamite Carson. Her friend and roommate Marie Callahan is a fellow manicurist seeking a rich husband. Marie dislikes Dynamite and urges Rosie to drop him. With Dynamite out of town, Marie prompts Rosie to take a date with customer Jimmy the Duke. However, the girls do not know that Jimmy is an associate of Dynamite, who is furious to learn that Marie has been dating behind his back.",,
tt0025342,movie,Keep 'Em Rolling,1934,69,"Drama,Romance,War",6.2,140,nm0404158,actor,"['nm0404158', 'nm0214168', 'nm0326809', 'nm0175815', 'nm0172318']",English,United States,,,
tt0025345,movie,Kentucky Kernels,1934,75,"Comedy,Music",6,485,nm0923774,actor,"['nm0923774', 'nm0941298', 'nm0137638', 'nm0568757', 'nm0001935']",English,United States,"The Great Elmer and Company, two out-of-work magicians, help lovelorn Jerry Bronson adopt Spanky Milford, to distract him. When Bronson makes up and elopes, the pair are stuck with the little boy. But Spanky inherits a Kentucky fortune, so they head south to Banesville, where the Milfords and Wakefields are conducting a bitter feud.",,
tt0025347,movie,Kid Millions,1934,90,"Comedy,Musical,Romance",6.6,662,nm0134662,actor,"['nm0134662', 'nm0815433', 'nm0581062', 'nm0614278', 'nm0161414']",English,United States,"In New York City, 1934, jazz singer Dot Clark and her shady gangster boyfriend, Louie The Lug (""An Earful of Music""), are introduced. After having an affair with the deceased Professor Edward Wilson, Dot is now technically his common-law wife and heiress to $77 million. She has to go to Egypt to claim the money, and sets off with Louie in hopes of getting the cash. Former assistant to Edward Wilson, Gerald Lane, informs the law offices of Benton, Loring, and Slade of Professor Wilson's death and the fact that Edward's son, Eddie Wilson, Jr, is the rightful heir to the money. Mr. Slade, the lawyer, goes to a barge in Brooklyn where Eddie is living with his adopted father, Pops, an old stevedore, and his three sons, Oscar, Adolph, and Herman, who roughhouse Eddie. However, Eddie is managing to live a nice life nonetheless, with his girlfriend, Nora 'Toots', and his care for all the kids on the barge. He dreams of the day when he will have enough money to live his own life outside of the dirty barge (""When My Ship Comes In""). Moments later, Eddie is informed that he has inherited the $77 million and boards a ship bound for Egypt to claim the money. Aboard the ship is Colonel Henry Larrabee, a gentleman from Virginia who sponsored Eddie, Sr's exploration endeavors and wants a share of the money, as well. Eddie befriends his beautiful niece, Joan, and Dot and Louie realize that they are not the only ones traveling to Egypt. In an elaborate scheme to trick Eddie into signing over the inheritance, Dot disguises herself as Eddie's mother and almost succeeds in duping him, but Louie ruins the plan at the last minute. Meanwhile, Gerald Lane has boarded the ship and he is revealed to be in love with Joan Larrabee.",,$2 million
