tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,nconst,category,lead_actors_ids,language,country,plot,budget,boxOffice
tt0097651,movie,Katala,1989,80,"Crime,Romance",6.2,188,nm0755894,actress,"['nm0755894', 'nm0307485', 'nm0583868', 'nm0667805', 'nm0608454']",Russian,USSR,"In a small seaside town lives Aleksei 'The Greek' Grekov, a former  katala, a slang term in the criminal circles meaning professional gambler. He is retired and now serves as a sailor on a pleasure boat of the semi-criminal businessman named Shota. Life goes on smoothly, but suddenly a terrible event occurs. Shota, having lost a lot of money to the criminal boss named ""Director"", tries to hide, the boat is burned right in the port, and Anna, Shota's girlfriend, is taken hostage by the bandits. Despite various efforts Shota falls into the hands of the criminals and they brutally kill him, but The Greek helps Anna and her young daughter escape to Moscow. Aleksei understands that while the Director does not receive all the debts of late Shota, he will go after Anna. And so The Greek who is in love with Anna decides to return to his former ""craft"" in order to ""earn"" money with a card game in order to save Anna.",,
tt0097655,movie,Keaton's Cop,1990,100,"Action,Crime,Drama",4.3,307,nm0000516,actor,"['nm0000516', 'nm0001820', 'nm0725543', 'nm0842884', 'nm0480869']",English,United States,"Ex-mobster Keaton (Abe Vigoda), now living in a retirement home, narrowly misses being the target of a mob hit. Police officers Jake Barber (Don Rickles), who has known Keaton for a long time, and violent Mike Gable (Lee Majors), who takes an immediate disliking to the aging gangster, are called in to investigate a string of murders targeting senior citizens and to protect Keaton. When Barber gets caught in the crossfire of a pair of hit men, Gable and Keaton are forced to get along while they search for the killer.",,
tt0097659,movie,Kickboxer,1989,97,"Action,Sport,Thriller",6.4,66438,nm0000241,actor,"['nm0000241', 'nm0018966', 'nm0150862', 'nm0702680', 'nm0026283']",English,United States,"Kurt is the younger brother and cornerman of Eric ""The Eliminator"" Sloane, the heavyweight kickboxing world champion. After another successful title defense, Eric is enticed by the media to compete in Thailand, where kickboxing was started, to further establish his legacy. As a result, Eric and Kurt travel to Bangkok to fight Tong ""The Tiger"" Po, Thailand's undefeated top fighter. Eric is supremely confident, but Kurt becomes apprehensive after witnessing Tong Po kicking a concrete pillar in preparation for the fight. He begs Eric not to fight, but Eric dismisses any concerns.",$2.7 million,$50 million
tt0097662,movie,Kill Me Again,1989,94,"Action,Crime,Drama",6.3,6826,nm0000174,actor,"['nm0000174', 'nm0000695', 'nm0612319', 'nm0227313', 'nm0000514']",English,United States,"A criminal couple, Vince and Fay, steal $850,000 from Las Vegas mobsters, killing one in the process. During their getaway, Fay knocks out the controlling Vince and escapes with the money. Jack Andrews, a widowed Reno private investigator drowning in gambling debt, is approached by Fay. She poses as an abused wife and offers him $10,000 to fake her death. Though skeptical, Jack agrees to help.",$4 million,"$283,694"
tt0097666,movie,Killer!,1989,69,Horror,5.8,129,nm0259673,actor,"['nm0259673', 'nm0098327', 'nm0510198', 'nm0187640', 'nm0521761']",Cantonese,Hong Kong,"Ah Jong, a hitman, decides to retire after one final job. During a shootout with gangsters, he accidentally blinds a young nightclub singer named Jennie when his gun fires too close to her eyes, burning them. Over the next six months, he quietly watches over her, attending all of her performances. One night, he intervenes to save her from being mugged and assaulted; Jennie then invites him into her apartment. They grow close and begin a relationship. However, Jennie then learns from her doctor that if she does not undergo a corneal transplant, she will lose what remains of her sight. Ah Jong agrees to kill a high-ranking triad boss to pay for the operation.",,HK$18.3 million
tt0097667,movie,Killing Dad or How to Love Your Mother,1989,89,Comedy,4.5,306,nm0001290,actor,"['nm0001290', 'nm0001186', 'nm0910278', 'nm0557281', 'nm0812556']",,,,,
tt0097668,movie,King of the Wind,1989,103,Adventure,6.5,242,nm0001321,actor,"['nm0001321', 'nm0413559', 'nm0277975', 'nm0000256', 'nm0001329']",,,,,
tt0097670,movie,Kinjite: Forbidden Subjects,1989,97,"Action,Crime,Drama",5.5,4451,nm0000314,actor,"['nm0000314', 'nm0273592', 'nm0520164', 'nm0657070', 'nm0005152']",English  Japanese,United States,"Hiroshi Hada, a Japanese businessman in a troubled marriage, sees a woman being groped in a crowded Tokyo subway. He is fascinated by the fact that she moans silently, involuntarily orgasms, but does not cry out or let people know she is being sexually molested. When Hada is transferred to Los Angeles, he has too much to drink at a business party and tries to imitate what he saw by groping a Caucasian school girl while riding a crowded bus. But unlike the Japanese woman that Hada saw in Japan, the American girl screams. Hada runs away, but is robbed and beaten by a mugger. Meanwhile, several innocent Asian men are beaten by bystanders who suspect that one of them is the man who groped the girl.",Unknown,"3,416,846 (U.S.)"
tt0097676,movie,Kogel-mogel,1988,105,Comedy,6.7,2272,nm0088111,actress,"['nm0088111', 'nm0440758', 'nm0911976', 'nm0486847', 'nm0520657']",,,,,
tt0097681,movie,Konec starych casu,1989,97,Comedy,7.1,480,nm0009368,actor,"['nm0009368', 'nm0479753', 'nm0361570', 'nm0398703', 'nm0366779']",,,,,
tt0097687,movie,Kronvittnet,1989,107,"Crime,Drama,Thriller",5.1,287,nm0481217,actress,"['nm0481217', 'nm0560501', 'nm0252473', 'nm0634853', 'nm0259829']",,,,,
tt0097689,movie,Kuarup,1989,119,Drama,5.4,149,nm0274440,actor,"['nm0274440', 'nm0868639', 'nm0541025', 'nm0536180', 'nm0207889']",Portuguese,Brazil,,,
tt0097690,movie,Kuduz,1989,105,Drama,7.8,917,nm0193807,actor,"['nm0193807', 'nm0091662', 'nm0120472', 'nm0229301', 'nm0618768']",Serbo-Croatian,Yugoslavia (SR Bosnia and Herzegovina),"A petty criminal is released from prison and marries his girlfriend. He manages to live a life free from crime, poor but happy, until his new wife commits adultery, which leads him to murder her and her lover. He then escapes into the mountains and evades justice for years.",,
tt0097692,movie,Kong-Fu Wonder Child,1986,90,"Action,Fantasy",6.3,137,nm0484051,actress,"['nm0484051', 'nm0960013', 'nm0759606', 'nm0518999', 'nm3257149']",,,,,
tt0097814,movie,Kiki's Delivery Service,1989,103,"Animation,Family,Fantasy",7.8,188157,nm0847439,actress,"['nm0847439', 'nm0847439', 'nm0757290', 'nm0633732', 'nm0865078']",Japanese,Japan,"In a world where witches exist alongside humans, 13-year-old Kiki decides to go out on her own, which all young witches must do when they turn 13, taking her familiar spirit, a talking black cat named Jiji, with her. Her mother insists that she take her mother's old, reliable broomstick. Kiki flies off into the cloudless night when the moon is full, searching for a new town for settlement. She encounters another witch and her cat whom she finds pretentious, but they cause Kiki to wonder what her special ""skill"" is. Kiki finds the town of Koriko and accidentally flies through traffic, causing disruptions. She is approached by a policeman, but a boy named Tombo helps her escape.",¥800 million ($6.9 million),$41.8 million
tt0097958,movie,National Lampoon's Christmas Vacation,1989,97,Comedy,7.5,247222,nm0000331,actor,"['nm0000331', 'nm0000350', 'nm0000496', 'nm0301959', 'nm0709907']",English,United States,"Chicago-area resident Clark Griswold intends to have a ""Good old fashioned"" Christmas with his entire family. He drives his wife Ellen and children Audrey and Rusty out to the country to find a tree, ultimately choosing the largest one they can find. Realizing too late that they did not bring any tools to cut down the tree, they are forced to uproot it instead. Clark's holiday plans inadvertently cause steadily escalating chaos for the family's yuppie neighbors, Todd and Margo Chester.",$25 million,$73.3 million
tt0097964,movie,New Year's Day,1989,88,"Comedy,Drama",5.7,385,nm0923909,actress,"['nm0923909', 'nm0919924', 'nm0935798', 'nm0415617', 'nm0000141']",English,United States,"Set entirely inside a New York City apartment on a snowy New Years Day, Drew is a recently divorced, middle-aged Hollywood writer/director who arrives back in New York looking for a path to start his life over and upon arriving at his old apartment, finds three young women residing there until the end of the day. They are the free-spirited Lucy, a multi-career woman and part-time actress who wants to move to Hollywood to start her life over; Annie is a photographer and Lucy's best friend who wants to move to L.A. with Lucy, but is unsure at what she wants to do with her life; Winona is a 30-year-old magazine editor who feels her biological clock ticking and wants to start a family. An assortment of people soon arrive at the apartment for a party where they talk amongst each other about their stance in life in which Drew sees the inspiration from the conversations on deciding to start his life over.",,
tt0097965,movie,New York Stories,1989,124,"Comedy,Drama,Romance",6.4,20989,nm0000095,actor,"['nm0000095', 'nm0000560', 'nm0000275', 'nm0154059', 'nm0703362']",English,United States,"Lionel Dobie is an acclaimed abstract artist who finds himself unable to paint during the days before a scheduled gallery exhibition of his new work. Paulette is Lionel's assistant and former lover. Lionel is still infatuated with her, but Paulette wants only his tutelage, which makes things difficult since they live in the same studio-loft. Paulette dates other people, including a performance artist and a painter.",$15 million,$10.7 million
tt0097967,movie,Next of Kin,1989,108,"Action,Crime,Drama",5.9,13667,nm0000664,actor,"['nm0000664', 'nm0000553', 'nm0000284', 'nm0000166', 'nm0441537']",English,United States,"Truman Gates, a former US Army Airborne Ranger raised in Appalachia, migrates to Chicago to become a police officer. Married to Jessie, who is pregnant, he has made the transition from hillbilly to lawman. When the coal mine closes, Truman persuades his younger brother Gerald to get work in Chicago. Unfortunately, soon after Gerald lands a job as a truck driver, his vehicle is hijacked by mobsters and Gerald is killed by Joey Rosellini, the nephew of mob boss Papa John Isabella.",$12 million,"$15,942,628"
tt0097968,movie,Nezný barbar,1990,88,"Comedy,Drama",7.4,108,nm0689990,actor,"['nm0689990', 'nm0579954', 'nm0325611', 'nm0161729', 'nm0432050']",,,,,
tt0097971,movie,Night Game,1989,95,"Crime,Drama,Horror",5.1,1899,nm0001702,actor,"['nm0001702', 'nm0949744', 'nm0809031', 'nm0103071', 'nm0322339']",English,United States,"Along a beachfront boardwalk in Galveston, Texas, a prostitute named Loretta Akers is attacked by an unseen assailant and has her throat slit, making her the latest victim in a string of serial killings. Mike Seaver, a former Minor League Baseball player-turned-police officer, goes to investigate the crime scene, where he finds a shred of a paper reading ""best of luck"" in Loretta's garter belt. Mike argues with county police officer Kyle Broussard, who is protective over the case, and whom Mike believes is secretly a pimp.",,"$337,812"
tt0097972,movie,Night Life,1989,89,Horror,5.6,1029,nm0342241,actor,"['nm0342241', 'nm0040014', 'nm0689424', 'nm0311270', 'nm0089781']",English,United States,"As teenager Archie Melville is disposing of remains from his Uncle Verlin's mortuary business, where he works under the agreement that Verlin will pay for his college tuition, he runs across high school jocks John, Rog, and their girlfriends Roberta and Joanie who have trespassed onto the property in their car to make out.  This escalates into a conflict between Archie and the jocks which Roberta, the only one in the group sympathetic to Archie, shuts down by calling John out on his bullying.",,
tt0097973,movie,Night Shadow,1989,91,Horror,3.9,456,nm1036949,actress,"['nm1036949', 'nm2486014', 'nm0702850', 'nm1305540', 'nm1035136']",,,,,
tt0097974,movie,Night Terror,1989,91,Horror,5,134,nm0444478,actor,"['nm0444478', 'nm1684721', 'nm0334270', 'nm0579498', 'nm0058301']",English,United States,"When a group of kids sneak into the dilapidated, apparently-abandoned mansion of vanished silent film star Lance Hayward, they are methodically killed off by the psychotic actor, who dons costumes from his classic film roles for each murder.",,
tt0097978,movie,Night Club,1989,91,"Comedy,Drama",5.5,127,nm0211565,actor,"['nm0211565', 'nm0893110', 'nm0921632', 'nm0890853', 'nm0350127']",Italian,Italy,"Set on the night Fred Buscaglione died in a car accident, the film tells about two bank clerks who hope to convince a rich businessman from Calabria to finance their enterprise by making him spend an unforgettable night of alcohol and women in a Via Veneto night club.",,
tt0097982,movie,Nightwish,1989,92,"Horror,Mystery,Sci-Fi",4.8,1602,nm0859921,actor,"['nm0859921', 'nm0823630', 'nm0435250', 'nm0201877', 'nm0737553']",English,United States,"A professor (played by Jack Starrett) and four graduate students head out to a decrepit mansion in the middle of nowhere in the course of researching dreams. The students, Donna (played by Elizabeth Kaitan), Kim (played by Alisha Das), Jack (played by Clayton Rohner) and Dean (played by Brian Thompson) help the professor in his search. They are attempting to spark the interest of whatever supernatural beings are rumored to exist at this house. They find themselves chained up in the dungeon-like basement, and battle their way through aliens, ghosts, and demonic creatures in order to survive.",,
tt0097987,movie,No Holds Barred,1989,93,"Action,Sport",4.4,7672,nm0001356,actor,"['nm0001356', 'nm0000220', 'nm0298281', 'nm0001474', 'nm0671032']",English,United States,"Rip Thomas is the WWF Heavyweight Champion, and his appearances on network TV have been a thorn in the side of Mr. Tom Brell, the head of the struggling World Television Network. Rip is a huge ratings draw, while WTN is the lowest-rated TV network. The day after Rip's most recent title match against Jake Bullet, Brell attempts to entice Rip into joining his network, but he refuses. Angry at being stood up by a man he considers a ""jock ass"", Brell tries to exact revenge by hiring his goons to jump Rip in his limo, but Rip successfully fights them off.",$8 million (estimated),$16 million (USA)
